,title,release_date,original_language,popularity,overview,vote_average,vote_count
7313,The Untold Story,1993-05-13,cn,16.984,"Macau cops begin to suspect a man running a pork buns restaurant of murder, after tracing the origin of a case full of chopped up human remains that washed ashore, which leads them to him.",6.104,110
7314,In Which Annie Gives It Those Ones,1989-01-22,en,16.982,Annie struggles to to clear his bachelor's degree with one final hurdle-The Thesis. It's his final attempt to clear it. Can he?,7.0,2
7315,Doraemon: Nobita and the Robot Kingdom,2002-03-09,ja,16.982,"Doraemon and friends travels into another world via the time machine; where humans and robots are living together. However they soon find out that the Empress of Robot Kingdom was trying to capture robots there and turn them emotionless. As the situation goes tense, our heroes sets out to stop the Empress and her plan.",6.9,19
7316,Godzilla 2000: Millennium,1999-12-11,ja,16.981,An independent group of researchers called the Godzilla Prediction Network (GPN) actively track Godzilla as he makes landfall in Nemuro.  Matters are further complicated when a giant meteor is discovered in the Ibaragi Prefecture. The mysterious rock begins to levitate as it's true intentions for the world and Godzilla are revealed.,6.9,226
7317,Proof of Love,2022-11-25,pt,16.979,,7.167,30
7318,Land,2021-02-12,en,16.979,"Edee, in the aftermath of an unfathomable event, finds herself unable to stay connected to the world she once knew and in the face of that uncertainty, retreats to the magnificent, but unforgiving, wilds of the Rockies. After a local hunter brings her back from the brink of death, she must find a way to live again.",6.775,218
7319,Waves,2019-11-15,en,16.978,A controlling father’s attempts to ensure that his two children succeed in high school backfire after his son experiences a career-ending sports injury. Their familial bonds are eventually placed under severe strain by an unexpected tragedy.,7.385,576
7320,Cashback,2004-08-01,en,14.441,"Ben is an art college student in London, whose imagination runs wild as he works the late-night shift at the local supermarket. What do he and his colleagues do to pass the long, endless hours of the night?",6.898,123
7321,Closer,2004-12-03,en,19.841,Two couples disintegrate when they begin destructive adulterous affairs with each other.,6.828,3133
7322,Color Out of Space,2019-09-07,en,19.201,"The Gardner family moves to a remote farmstead in rural New England to escape the hustle of the 21st century. They are busy adapting to their new life when a meteorite crashes into their front yard, melts into the earth, and infects both the land and the properties of space-time with a strange, otherworldly colour. To their horror, the family discovers this alien force is gradually mutating every life form that it touches—including them.",6.023,1285
7323,The Island of Dr. Moreau,1977-07-13,en,13.44,"A ship-wrecked man floats ashore on an island in the Pacific Ocean. The island is inhabited by a scientist, Dr. Moreau, who in an experiment has turned beasts into human beings.",5.492,133
7324,Black Beauty,2020-11-27,en,15.956,"Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.",8.0,311
7325,Howl,2015-10-01,en,15.194,"When passengers on a train are attacked by a creature, they must band together in order to survive until morning.",5.502,450
7326,October Sky,1999-02-19,en,18.19,"Based on the true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes, and eventually became a NASA scientist.",7.626,1123
7327,All Fun and Games,2023-08-30,en,12.809,"A group of Salem teens discover a cursed knife that unleashes a demon that forces them to play gruesome, deadly versions of childhood games where there can be no winners, only survivors.",5.926,27
7328,AESTHETIC Z: LIVE-ON,2023-11-01,xx,22.756,"Waking up from a fuzzy dream, a man encounters a strange glass of water...",0.0,0
7329,Jump!,2023-11-01,es,22.75,,0.0,0
7330,Missing Link,2019-04-04,en,17.448,"The charismatic Sir Lionel Frost considers himself to be the world's foremost investigator of myths and monsters. Trouble is, none of his small-minded, high-society peers seems to recognize this. Hoping to finally gain acceptance from these fellow adventurers, Sir Lionel travels to the Pacific Northwest to prove the existence of a legendary creature known as the missing link.",6.986,779
7331,Five,2016-03-30,fr,14.694,A young man paying the rent for himself and his lifelong friends ends up flat-broke and resorts to selling marijuana to pay the bills – only to get caught up in the dangerous world of drugs.,7.0,1154
7332,High School Musical 2,2007-08-17,en,20.44,"The East High Wildcats are gearing up for big fun as they land the coolest summer jobs imaginable. Troy, Gabriella, Chad, and Taylor have scored sweet gigs at the Lava Springs Country Club owned by Sharpay and Ryan's family. Sharpay's first rule of business: Get Troy. As Troy experiences a life of privilege he's never known, will he give up the Wildcats and Gabriella to rise to the top?",6.523,3557
7333,Bad Samaritan,2018-04-19,en,14.895,"A thief makes a disturbing discovery in the house where he breaks in. Later, when he returns to the same house with his partner in crime, things are no longer how he expected.",6.732,621
7334,Sweet Home Alabama,2002-09-26,en,15.688,"New York fashion designer, Melanie Carmichael suddenly finds herself engaged to the city's most eligible bachelor. But her past holds many secrets—including Jake, the redneck husband she married in high school, who refuses to divorce her. Bound and determined to end their contentious relationship once and for all, Melanie sneaks back home to Alabama to confront her past.",6.389,1391
7335,The Lair of the White Worm,1988-09-21,en,22.74,"When an archaeologist uncovers a strange skull in a foreign land, the residents of a nearby town begin to disappear, leading to further inexplicable occurrences.",5.9,207
7336,The Astronaut's Wife,1999-08-27,en,15.687,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?",5.565,844
7337,Tag,2015-05-11,ja,16.24,"High school student Mitsuko navigates a series of bizarre alternate realities, each ending in bloody carnage.",6.6,305
7338,The 90s: Ten Years That Changed the World,2015-06-13,en,14.281,Documentary that outlines the 1990s and the decade the changed the world.,8.7,3
7339,The Night Clerk,2020-02-19,en,18.898,"Hotel night clerk Bart Bromley is a highly intelligent young man on the Autism spectrum. When a woman is murdered during his shift, Bart becomes the prime suspect. As the police investigation closes in, Bart makes a personal connection with a beautiful guest named Andrea, but soon realises he must stop the real murderer before she becomes the next victim.",6.22,651
7340,Dragonheart: Battle for the Heartfire,2017-07-09,en,16.957,"When the King Gareth dies, his potential heirs, twin grandchildren who possess the dragon’s unique strengths, use their inherited powers against each other to vie for the throne. When Drago’s source of power – known as the Heartfire – is stolen, more than the throne is at stake; the siblings must end their rivalry with swords and sorcery or the kingdom may fall.",6.1,199
7341,So Undercover,2012-12-06,en,16.957,"When the FBI hires her to go undercover at a college sorority, Molly Morris (Miley Cyrus) must transform herself from a tough, streetwise private investigator to a refined, sophisticated university girl to help protect the daughter of a one-time Mobster. With several suspects on her list, Molly unexpectedly discovers that not everyone is who they appear to be, including herself.",6.168,1078
7342,Life Like,2019-05-14,en,16.955,"An idealistic attractive young couple acquires a stunning, life-like robot for guilt free help, but as the three grow closer, their perception of humanity will be altered forever.",6.262,206
7343,The Legend of Bagger Vance,2000-11-02,en,16.954,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.",6.566,813
7344,Lupin the Third: Jigen's Gravestone,2014-06-21,ja,16.952,"Lupin & Jigen have their sights set on a treasure called the Little Comet, which is located in the heavily fortified country of East Doroa. During the heist, Jigen is almost killed by a sniper named Yael Okuzaki. His specialty is preparing tombstones for his targets before executing them. It's said that no one can survive after Yael makes their tombstone.",7.514,107
7345,Autumn Dreams,2015-10-03,en,16.951,"With plans to leave their small town, teenage loves Annie and Ben elope. Their big city plans are halted, though, when Annie's parents have the marriage annulled. Ben moves to New York, while Annie stays in Iowa to help her family. Fifteen years later, both engaged to their respective fiancés, the two discover that their annulment was never finalized. They reunite to make their divorce legal, but begin to reminisce about what could have been. When romantic feelings resurface, Annie and Ben must decide if their past love could be the love of their future.",6.6,108
7346,This Is 40,2012-12-20,en,16.95,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",5.865,2020
7347,"Ghidorah, the Three-Headed Monster",1964-12-20,ja,16.95,"After a meteorite unleashes a three-headed beast upon Tokyo, Mothra tries to unite with Godzilla and Rodan to battle the extraterrestrial threat.",7.094,208
7348,Hollow Man II,2006-05-23,en,16.947,"After the mysterious death of scientist, Dr. Devin Villiers, Det. Frank Turner and his partner are assigned to protect Villiers' colleague, who revealed that  a veteran soldier was subjected to an experiment with the objective of creating the ultimate national security weapon... an undetectable soldier. The experiment failed – with disastrous side effects.",4.874,226
7349,Gurren Lagann the Movie: Childhood's End,2008-09-06,ja,16.946,"Simon and Kamina live in an underground city monitored by the village chief. When Simon stumbles upon an artifact and beastmen invade from the surface, Simon and Kamina rebel against them.",7.64,93
7350,Milk Money,1994-08-31,en,16.942,"Three young boys pool their money and pay V, a kindhearted prostitute, to strip for them. Afterward, she drives them home to the suburbs -- but then her car breaks down. It's just as well, though, because a mobster named Waltzer is after her, and V realizes the suburbs are the perfect place to hide. But things get a lot more complicated when V falls in love with Tom, a single father who is unaware of her real profession.",6.349,251
7351,Riverdance: The Animated Adventure,2021-05-28,en,16.938,A young Irish boy named Keegan and Spanish girl named Moya journey into a magical world of the Megaloceros Giganteus who teach them to appreciate Riverdance as a celebration of life. Based on the stage show phenomenon of the same name and featuring Bill Whelan’s multi-platinum Grammy Award-winning music.,5.981,77
7352,The Kiss,2022-10-15,da,16.936,"A romantic drama set in Denmark in 1913, the story follows Anton, a noble and conscientious young man whose top priority is to complete his training as a cavalry officer. During a training session, he orders his platoon to help Baron von Løvenskjold and finds himself invited to a ball at the castle, where he meets the baron’s beautiful daughter Edith who has been in an accident and ended up in a wheelchair.",6.538,12
7353,Only Lovers Left Alive,2013-12-12,en,16.934,"A depressed musician reunites with his lover in the desolate streets of Detroit. Though their romance has endured several centuries, it is tested by the arrival of her capricious and unpredictable younger sister.",7.247,2017
7354,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972-08-06,en,16.934,"A collection of seven vignettes, which each address a question concerning human sexuality. From aphrodisiacs to sexual perversion to the mystery of the male orgasm, characters like a court jester, a doctor, a queen and a journalist adventure through lab experiments and game shows, all seeking answers to common questions that many would never ask.",6.531,830
7355,Finding You,2021-05-13,en,16.933,"Finley, a talented aspiring violinist, meets Beckett, a famous young movie star, on the way to her college semester abroad program in a small coastal village in Ireland. An unexpected romance emerges as the heartthrob Beckett leads the uptight Finley on an adventurous reawakening, and she emboldens him to take charge of his future, until the pressures of his stardom get in the way.",6.893,136
7356,Dragon Tiger Gate,2006-07-27,cn,16.931,Three young martial arts masters emerge from the back streets of Hong Kong to help the powerless fight injustice.,6.596,177
7357,Fate/stay night: Heaven's Feel III. Spring Song,2020-08-15,ja,16.93,"As Sakura drowns in the murky darkness of the sins she has committed, Shirou's vow to protect her at all costs leads him into a raging battle to put an end to the Holy Grail War.  Will Shirou's wish reach Sakura even as he challenges fate itself in a desperate battle against the rising tide?",7.8,154
7358,Be My Slave,2012-11-03,ja,16.929,"Dan Mitsu stars as Kana, a female employee at a publishing company who strikes up a sexual relationship with a younger co-worker. He soon discovers that Kana's fetishes extend to sadomasochistic tendencies, involving a mysterious man only known as ""Sensei"". This discovery will push his relationship with Kana to a new, dangerous level that he may not be ready for.",5.781,32
7359,Troll,1986-01-17,en,16.926,"When a family moves into a San Francisco apartment, an opportunistic troll decides to make his move and take possession of little Wendy (Jenny Beck), thereby paving the way for new troll recruits, the first in his army that will take eventual control of the planet. We soon discover Torok is the ex-husband of Eunice St. Clair, a resident in the building who was married to Torok.",4.9,182
7360,Awake,2007-11-28,en,16.923,"While undergoing heart surgery, a man experiences a phenomenon called ‘anesthetic awareness’, which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves, his wife must make life-altering decisions while wrestling with her own personal drama.",6.493,1269
7361,I Am All Girls,2021-05-14,en,16.92,A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.,6.588,267
7362,An American Tail,1986-11-21,en,16.92,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",6.711,1225
7363,The Chaser,2008-02-14,ko,16.918,"Joong-ho is a dirty detective turned pimp in financial trouble as several of his girls have recently disappeared without clearing their debts. While trying to track them down, he finds a clue that the vanished girls were all called up by the same client whom one of his girls is meeting with right now.",7.773,1177
7364,The Lawnmower Man,1992-03-05,en,16.916,A simple man is turned into a genius through the application of computer science.,5.5,657
7365,100 Girls,2000-09-01,en,16.915,"Matthew, a college freshman, meets his dream girl in a dorm elevator during a blackout. He never sees her face, but instantly falls in love. In the morning, the power is restored, but the ""dream girl"" has vanished. All Matthew knows is that she lives in an all-girls dorm. He sets out on a semester-long journey to find his mystery girl among a hundred female suspects. Could it be Wendy? Dora? Arlene? Patty? Cynthia? Or the 95 other girls, any of whom could have been in that elevator with Matthew.",5.801,410
7366,Gambit,2012-04-25,en,16.914,"An art curator decides to seek revenge on his abusive boss by conning him into buying a fake Monet, but his plan requires the help of an eccentric and unpredictable Texas rodeo queen.",5.5,619
7367,After Hours,1985-08-16,en,16.914,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho whom he met that evening at a coffee shop.,7.467,1286
7368,Glisten and the Merry Mission,2023-11-03,en,16.911,"Follows Marzipan, a young elfling, and her mother Cinnameg, as Marzipan must believe in the magic of the season and goes on an adventure to rediscover the enchanted snow deer named Glisten and save Christmas.",0.0,0
7369,Love Tactics,2022-02-11,tr,16.911,"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.",7.245,267
7370,The Monster,2016-11-11,en,16.908,A mother and her 10-year old daughter are trapped in a forest. There is something in this forest. Something unlike anything they have heard before. Something that lurks in the darkness and it’s coming after them.,5.487,520
7371,Kommt ein Vogel geflogen,2023-11-02,de,16.905,"When the animal keeper Birgit gifts her daughter Sarah a parrot, the joy is great. While Sarah is teased at school because of her speech impediment, the parrot provides her with a sense of security. But when the parrot suddenly begins to constantly spout Nazi slogans, it not only causes problems with Birgit's Jewish in-laws, but also puts her in the crossfire of the media.",0.0,0
7372,Night on Earth,1991-12-12,en,16.905,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,7.518,798
7373,Oliver!,1968-09-26,en,16.904,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.",6.964,380
7374,Bleach the Movie: The DiamondDust Rebellion,2007-12-22,ja,16.904,"When an artifact known as the ""King's Seal"" is stolen during transport from Soul Society, Hitsugaya Toushirou is assigned to retrieve it. Toushirou goes missing after a battle with the thieves, leading Seireitei to suspect him of treachery. They order his immediate capture and execution. Unwilling to believe him capable of such a crime, Ichigo, Rangiku, Rukia, and Renji set out to find Toushirou.",6.7,150
7375,An American Werewolf in Paris,1997-05-29,en,16.904,An American man unwittingly gets involved with werewolves who have developed a serum allowing them to transform at will.,5.937,620
7376,The World's Fastest Indian,2005-10-12,en,16.903,"The life story of New Zealander Burt Munro, who spent years building a 1920 Indian motorcycle—a bike which helped him set the land-speed world record at Utah's Bonneville Salt Flats in 1967.",7.608,643
7377,Nothing to see,2023-03-02,es,16.899,"After Carlos is tasked to care for Paola, both characters must work out their differences to make their time together more pleasant. As time goes on, they are faced with lessons about trust, mutual respect, and perhaps love.",8.1,43
7378,Padre Pio,2023-06-01,en,16.896,"It is the end of World War I and the young Italian soldiers are making their way back to San Giovanni Rotondo, a land of poverty, with a tradition of violence and submission to the iron-clad rule of the church and its wealthy landowners. Families are desperate, the men are broken, albeit victorious. Padre Pio also arrives, at a remote Capuchin monastery, to begin his ministry, evoking an aura of charisma, saintliness and epic visions of Jesus, Mary and the Devil himself. The eve of the first free elections in Italy sets the stage for a massacre with a metaphorical dimension: an apocalyptic event that changes the course of history.",5.833,9
7379,Batman: Gotham by Gaslight,2018-01-12,en,16.895,"In an alternative Victorian Age Gotham City, Batman begins his war on crime while he investigates a new series of murders by Jack the Ripper.",6.674,646
7380,Causeway,2022-10-28,en,16.889,"A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home in New Orleans. When she meets local mechanic James, the pair begin to forge an unexpected bond.",6.644,343
7381,Possessor,2020-10-02,en,16.889,"Tasya Vos, an elite corporate assassin, uses brain-implant technology to take control of other people’s bodies to terminate high profile targets. As she sinks deeper into her latest assignment, Vos becomes trapped inside a mind that threatens to obliterate her.",6.37,745
7382,Hard to Kill,1990-02-09,en,16.888,"Mason Storm, a 'go it alone' cop, is gunned down at home. The intruders kill his wife, and think they've killed both Mason and his son too. Mason is secretly taken to a hospital where he spends several years in a coma. His son meanwhile is growing up thinking his father is dead. When Mason wakes up, everyone is in danger - himself, his son, his best friend, his nurse - but most of all those who arranged for his death",5.996,552
7383,Blown Away,1994-07-01,en,16.887,Blown Away tells the story of Jimmy Dove who works for the Boston bomb squad. Shortly after Dove leaves the force his partner is killed by a bomb that Dove thinks might have been made by someone he knows.,6.183,483
7384,Crossroads,1986-03-14,en,16.886,"A wanna-be blues guitar virtuoso seeks a long-lost song by legendary musician, Robert Johnson.",7.281,377
7385,The Bear,1988-10-21,fr,16.886,An orphan bear cub hooks up with an adult male as they try to dodge human hunters.,6.99,432
7386,The Blob,1958-09-10,en,16.885,"A drive-in favorite, this sci-fi classic follows teenagers Steve and his best girl, Jane, as they try to protect their hometown from a gelatinous alien life form that engulfs everything it touches. The first to discover the substance and live to tell about it, Steve and Jane witness the blob destroying an elderly man, then it growing to a terrifying size. But no one else has seen the goo, and policeman Dave refuses to believe the kids without proof.",6.215,543
7387,The Wanderers,1979-07-13,en,16.882,The streets of the Bronx are owned by '60s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‘The Wanderers.’,6.994,172
7388,After,2012-08-27,en,16.881,"When two bus crash survivors awake to discover that they are the only people left in their small town, they must form an unlikely alliance in a race to unravel the truth behind their isolation. As strange events begin to unfold, they start to question whether the town they know so well is really what it seems.",5.5,157
7389,Species: The Awakening,2007-10-02,en,16.88,"A scientist, Dr Holander, takes his niece Miranda to Mexico in an attempt to reverse the effects of the alien DNA he used to create her. However the treatment goes horribly wrong, and sets Miranda on a killing spree as she sets out to find a mate.",4.718,213
7390,Cherry Magic! THE MOVIE,2022-04-08,ja,16.877,"Adachi and Kurosawa are now in a relationship. While they are happily dating and enjoying their office romance, Adachi is offered a job transfer. Adachi is happy to have the chance to do the work he wants, but the new job is far away in Nagasaki, 1200 km away. Will their love have a happy ending?",7.0,9
7391,Lemonade Mouth,2011-04-15,en,16.876,"After five disparate high school students meet in detention, they realize they have more in common than they think and form a band that becomes a champion for students sidelined by the high school elite.",7.444,1003
7392,BJJ: Woman on Top,2023-09-29,tl,16.873,"Elise learns the martial art and combat sport Brazilian Jiu Jitsu to learn to defend herself, but she soon realizes that BJJ moves can also be used in passionate lovemaking.",7.0,1
7393,Nightmare Neighborhood Moms,2022-04-08,en,16.873,"This movie follows Charlotte as she gets acquainted with her competitive neighbor Bonnie. A neighborhood watch is created when another neighbor is murdered. Unbeknownst to everyone, it was Bonnie who killed the neighbor. Will she be uncovered before it's too late?",7.0,5
7394,Flower & Snake: Zero,2014-05-17,ja,16.873,"Misaki Amemiya is an assistant inspector for the Metropolitan Police Department's Community Safety Bureau who becomes ensnared in a trap while investigating a mysterious illegal video website called ""Babylon"". Soon, she's bound and tortured along with Shizuko and an oversexed housewife named Ruri.",6.269,26
7395,"Confess, Fletch",2022-09-16,en,16.87,"The roguishly charming and endlessly troublesome Fletch becomes the prime suspect in a murder case while searching for a stolen art collection. The only way to prove his innocence? Find out which of the long list of suspects is the culprit - from the eccentric art dealer and a missing playboy to a crazy neighbor and Fletch’s Italian girlfriend. Crime, in fact, has never been this disorganized.",6.261,190
7396,"Alan Partridge: Why, When, Where, How And Whom?",2017-12-27,en,16.869,"It has been a quarter of a century since a little-known sports reporter was given his own radio chat show by the BBC. Two radio series, five TV series, four specials, two books and one movie later, Alan Partridge has an unrivalled place in the comedy pantheon. To celebrate Alan’s return to his rightful home at the BBC in 2018, this retrospective documentary will look back at his journey from broadcaster caricature to the award-winning study of complexity and pathos that he has become.",8.2,5
7397,The Edge of the Broken Moon,2023-11-02,ru,16.867,"The film tells about a teenage girl Sonya, whose mother lied for many years about the death of her father, after which she ran away from home. Mother and older sister find the girl in an old dacha, where they finally find an opportunity to speak out all the problems, resentments and fears that have been hushed up so diligently for years.",0.0,0
7398,Ghost Adventures: Cecil Hotel,2023-10-04,en,16.866,,0.0,0
7399,Camp Rock,2008-06-20,en,16.863,"When Mitchie gets a chance to attend Camp Rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself.",6.426,2009
7400,The Thirteenth Year,1999-05-15,en,16.862,A teen learns that his birth mother is a mermaid after he begins to grow fins and slimy scales on his thirteenth birthday.,6.593,204
7401,Breathless,1960-03-16,fr,16.862,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he attempts to persuade a girl to run away to Italy with him.",7.576,1640
7402,Open,2023-11-03,en,16.86,"A woman in a troubled marriage falls for a former teen heartthrob who's fallen from industry favor, while having nagging (and empowering) hallucinations about fronting an 1980s new wave band.",0.0,0
7403,Hanna and the Monsters,2023-04-21,ca,16.86,"Monsterville is a village inhabited by monsters that have grown tired of living among humans. But one day, Hanna manages to break into her world by putting Monsterville at risk. After the initial fright, the monsters will have to fight against worse enemies: Gargoyle and Cyclops, two monsters that will want to use Hanna to permanently close any contact with the outside world ... running the risk of Hanna being trapped forever in Monsterville.",6.077,13
7404,Are We There Yet?,2005-01-20,en,16.858,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick.",5.567,892
7405,À la Recherche,2023-11-02,it,16.857,A farmhouse in the countryside around Rome in the 70s. Livia and Pietro write a script for Luchino Visconti based on 'In Search of Lost Time' by Marcel Proust.,0.0,0
7406,Hacked,2020-02-07,hi,16.856,A young woman finds her life turned upside down when she rejects the advances of a teenage hacker.,7.0,12
7407,Earth vs. the Flying Saucers,1956-07-04,en,16.855,"Test space rockets exploding at liftoff and increased reporting of UFO sightings culminate in a direct attempt by alien survivors of a dead, extra-galactic civilization to invade Earth from impervious flying saucers, using ray-weapons of mass destruction.",5.9,141
7408,The Dude in Me,2019-01-09,ko,16.854,"Dong-hyun is a high school student. One day, he falls from the rooftop and bumps into Pan-soo who is a passerby. Pan-soo is a member of a criminal organization. When the two men wake up in the hospital, they discover that they have switched bodies.",7.882,119
7409,The Beasts,2022-07-20,gl,16.852,"Antoine and Olga, a French couple, have been living in a small village in Galicia for a long time. They practice eco-responsible agriculture and restore abandoned houses to facilitate repopulation. Everything should be idyllic but for their opposition to a wind turbine project that creates a serious conflict with their neighbors. The tension will rise to the point of irreparability.",7.505,532
7410,A Perfect World,1993-11-24,en,16.852,"A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",7.473,1489
7411,Pee Mak,2013-03-28,th,16.851,"Mak's friends just want to protect him, but his wife Nak won't let a small thing like her own death get in the way of true love in this horror-comedy.",7.248,109
7412,Soylent Green,1973-04-18,en,16.846,"This is the year 2022. Overcrowding, pollution,  and resource depletion have reduced society’s leaders to finding food for the teeming masses. The answer is Soylent Green.",6.945,1139
7413,Tyler Perry's A Madea Homecoming,2022-02-25,en,16.845,Madea's back - hallelujer! And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,6.77,100
7414,"Snoopy Presents: It’s the Small Things, Charlie Brown",2022-04-15,en,16.842,"Charlie Brown is determined to win the big baseball game. But things turn into a fiasco right before the matchup, when Sally bonds with a little flower on the pitcher’s mound and vows to protect it at all costs.",7.154,39
7415,The American President,1995-11-17,en,16.842,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.574,642
7416,A Turtle's Tale 2: Sammy's Escape from Paradise,2012-08-01,en,16.84,"Sammy and Ray, leatherback turtles and friends forever, are enjoying an atoll's water and sand, shepherding new hatchlings Ricky and Ella out to sea. Suddenly, a poacher swoops in and ships them off to be part of a spectacular aquarium show for tourists in Dubai. The kingpin of the place, Big D the seahorse, enlists them in his plans for a great escape. But with their new friends Jimbo the bug-eyed blob fish and Lulu the snippy lobster, Annabel the sweet Octopus, and a whole family of penguins, Sammy and Ray hatch breakout plans of their own. That is when little Ricky and Ella arrive, determined to break in to rescue them. After a series of thrilling adventures and narrow escapes, our heroes head south to meet up with Shelly, Sammy's first and only love.",5.8,188
7417,Exam,2009-06-19,en,16.84,The final candidates for a highly desirable corporate job are locked together in an exam room and given a test so simple and confusing that tension begins to unravel.,6.715,1871
7418,The Stranger in Our Bed,2022-08-26,en,16.834,A newly married woman leaves her wealthy husband for a lover who mysteriously disappears. Things start to unravel and become life-threatening on a trip to the husband's family estate.,6.378,41
7419,The Golden Voyage of Sinbad,1973-12-20,en,16.833,"Sinbad and his crew intercept a homunculus carrying a golden tablet. Koura, the creator of the homunculus and practitioner of evil magic, wants the tablet back and pursues Sinbad. Meanwhile Sinbad meets the Vizier who has another part of the interlocking golden map, and they mount a quest across the seas to solve the riddle of the map.",6.654,198
7420,Hellraiser: Revelations,2011-10-18,en,16.673,"Two friends in Mexico discover the Lament Configuration and unleash Pinhead, but one decides to try to survive by swapping himself with someone else. Once they go missing, family members go in search of them, but find Pinhead instead.",3.531,278
7421,Ghosts of Girlfriends Past,2009-05-01,en,20.372,"When notorious womanizer Connor Mead attends his brother Paul's wedding, he is forced to re-evaluate his behavior as he comes face-to-face with the ghosts of girlfriends past, present, and future, along with his deceased uncle. The experience changes his attitude and allows him to reconnect with his first and only love, Jenny.",5.957,2164
7422,S.W.A.T.,2019-12-29,zh,16.543,"The story centers on the Chinese Special Police Unit, from their hard training to their first mission.",7.4,87
7423,Operation Christmas Drop,2020-11-05,en,10.937,"While gathering evidence to support closing a tropical U.S. Air Force base, a congressional aide warms to its generous captain.",6.458,505
7424,The King of Staten Island,2020-07-22,en,18.135,"Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still living with his exhausted ER nurse mother and spends his days smoking weed, hanging with the guys — Oscar, Igor and Richie — and secretly hooking up with his childhood friend Kelsey. But when his mother starts dating a loudmouth firefighter named Ray, it sets off a chain of events that will force Scott to grapple with his grief and take his first tentative steps toward moving forward in life.",7.012,903
7425,Sam Was Here,2016-09-27,en,13.876,"California, Mojave Desert, 1998. A strange glow appears in the sky. Sam, a forty-something door-to-door salesman, travels through the few inhabited zones of the Californian desert in search of clients.",5.372,145
7426,SlugTerra: Return of the Elementals,2014-08-02,en,17.424,"A new member has joined Eli and the Shane Gang! Junjie, once the protector of the Eastern Caverns, is a master of the slugslinging art of Slug Fu! But even with the power of five slingers, the Shane Gang find themselves in over their heads as they race across The 99 Caverns in search of the Legendary Elemental Slugs. The five Elementals are ancient slugs of great power, and the forbearers of all slugs found in SlugTerra today. In the wrong hands, they could bring Slugterra to the brink of destruction. So when an evil alliance starts hunting down the Elementals, Eli and his friends — old and new — take off in pursuit of the greatest threat their world has ever faced!",6.894,330
